Class,Type,Rocket Motor,Total Impulse,Name,Altitude,Altimeters (include GPS model if > 30K),Date,Location,GPS URL,Image URL,Altimeter URL,Notes,Historical
Single,Handicapped,G75,155,Steve Klausmeyer,"2,770",Adept A1,4/12/2003,,,,,,
Single,Handicapped,G75J,155,Mark Herndon,"2,597",Adept Alt05-50K,11/3/2001,,,,,,
Single,Handicapped,G54RL,159.1,Steve Boetto,"3,323",Altus Easy Mini,3/21/2021,"TTRA, Winter Haven, FL",,http://realflightsystems.com/techpubs/data/TRA-Records/2021/Boetto/Boetto-GeeMan.jpg,,,
Single,Handicapped,H170,320,Mark Hairfield,"3,656",Raven,11/17/2012,,,,,,
Single,Handicapped,H45,320,Mark Clark,4130,Missileworks RRC2,9/24/2016,"BALLS25, Blackrock Nevada",,http://www.realflightsystems.com/techpubs/data/TRA-Records/other/MarkClark-BALLS2016-2.JPG,,"3.75x50"" - Liftoff Weight 3lb 1oz",
Single,Handicapped,H268R,313,Lance Wright,2503,Perfectflite Alt-15K,9/18/2005,,,,,,
Single,Handicapped,H112J,319,Mark Hairfield,,,4/13/2012,,,,,,
Single,Handicapped,I59,590,Mark Clark,5492,Missileworks RRC2,9/24/2016,"BALLS25, Blackrock Nevada",,"http://www.realflightsystems.com/techpubs/data/TRA-Records/other/MarkClark-BALLS2016.JPG,
http://www.realflightsystems.com/techpubs/data/TRA-Records/other/MarkClark-BALLS-2016-3.JPG",,"3.75x50"" - Liftoff Weight 3lb 6oz",
Single,Handicapped,I255,605,Mark Clark,5464,Skyward Electronics,1/22/2000,,,,,,
Single,Handicapped,I65,620,Scott Dukes,6355,Altus Metrum Easymini 2.0,2/6/2021,"NCR, Briggsdale Colorado",,"https://realflightsystems.com/techpubs/data/TRA-Records/2021/Dukes/Dukes-I-Handicap-1.jpg, https://realflightsystems.com/techpubs/data/TRA-Records/2021/Dukes/Dukes-I-Handicap-2.jpg,https://realflightsystems.com/techpubs/data/TRA-Records/2021/Dukes/Dukes-I-Handicap-3.jpg",,,
Single,Handicapped,J135,1069,Dennis Blackburn,"4,510",Adept Alt-S2,11/21/1999,,,,,,
Single,Handicapped,K250,2555,Dennis Blackburn,"9,699",Adept Alt-S2,7/14/2001,,,,,,
Single,Handicapped,M2500T,10240,Andrew Grippo,"12,230",Arts 2,9/2/2008,"LDRS 27, Rocket Pasture, Argonia, KS",,http://www.realflightsystems.com/techpubs/data/TRA-Records/other/handicapped-Andrew-Grippo-10240-922008.jpg,,Rocket Name: Aunt Tina Roo,
Single,Handicapped,M2500T,10240,Gerald Meux Jr.,"7,098","Perfectflite MAWD, Arts 2",10/27/2007,"AHPRA, Rainbow Valley, Arizona ",,http://realflightsystems.com/techpubs/data/TRA-Records/2007/GM-AHPRA-M2500-az04.jpg,,,
